[0, 47, 5, 9, 32, 17, 10, 29, 0]
[10, 62, 4, 7, 28, 17, 6, 29, 1]
[-1, 46, 5, 7, 31, 16, 9, 24, 2]
[23, 46, 4, 9, 29, 16, 9, 22, 3]
[-1, 42, 3, 7, 22, 12, 7, 26, 4]
[2, 61, 7, 11, 29, 18, 9, 30, 0]
[14, 74, 5, 10, 26, 19, 5, 31, 1]
[1, 60, 7, 11, 31, 18, 8, 30, 2]
[26, 61, 6, 12, 36, 20, 11, 36, 3]
[-5, 55, 5, 9, 26, 16, 8, 31, 4]
[-1, 67, 8, 10, 40, 25, 10, 32, 0]
[14, 89, 7, 11, 35, 20, 7, 35, 1]
[0, 65, 4, 10, 29, 16, 9, 29, 2]
[29, 61, 6, 12, 40, 22, 12, 33, 3]
[-1, 71, 4, 10, 25, 8, 13, 27, 4]
